"amphurEN","amphurTH","changwat","lat","long","pop","area","zip","province_id"
"Bung Khla","บุ่งคล้า","Bueng Kan","18.30167","103.97333","13037","52.0","38000","38"
"Seka","เซกา","Bueng Kan","17.92833","103.95333","83137","82.3","38150","38"
"So Phisai","โซ่พิสัย","Bueng Kan","18.07833","103.44333","69450","68.6","38170","38"
"Phon Charoen","พรเจริญ","Bueng Kan","18.03167","103.70833","42109","113.0","38180","38"
"Pak Khat","ปากคาด","Bueng Kan","18.29833","103.30667","33973","151.5","38190","38"
"Bueng Khong Long","บึงโขงหลง","Bueng Kan","17.96667","104.04500","35808","87.2","38220","38"
"Nong Bua Lam Phu","หนองบัวลำภู","Nongbua Lamphu","17.204167","102.444444","130092","143.3","39000","39"
"Non Sang","โนนสัง","Nongbua Lamphu","16.86556","102.57222","64172","111.1","39140","39"
"Na Klang","นากลาง","Nongbua Lamphu","17.30722","102.18861","90996","159.4","39170","39"
"Si Bun Rueang","ศรีบุญเรือง","Nongbua Lamphu","16.96583","102.28000","107804","129.8","39180","39"
"Suwannakhuha","สุวรรณคูหา","Nongbua Lamphu","17.56333","102.27972","66277","102.6","39270","39"
"Mueang Khon Kaen","เมืองขอนแก่น","Khon Kaen","16.43833","102.83889","382156","391.5","40000","40"
"Ban Haet","บ้านแฮด","Khon Kaen","16.20250","102.75083","32135","156.6","40110","40"
"Ban Phai","บ้านไผ่","Khon Kaen","16.06000","102.73083","101031","211.5","40110","40"
"Non Sila","โนนศิลา","Khon Kaen","15.97389","102.66917","25987","142.3","40110","40"
"Phon","พล","Khon Kaen","15.81583","102.59861","86911","99.6","40120","40"
"Chum Phae","ชุมแพ","Khon Kaen","16.54417","102.09972","122091","239.0","40130","40"
"Nam Phong","น้ำพอง","Khon Kaen","16.70194","102.85667","112414","136.8","40140","40"
"Wiang Kao","เวียงเก่า","Khon Kaen","16.67861","102.29444","19750","69.1","40140","40"
"Nong Na Kham","หนองนาคำ","Khon Kaen","16.80083","102.34111","23402","147.3","40150","40"
"Phu Wiang","ภูเวียง","Khon Kaen","16.65444","102.37694","71597","115.1","40150","40"
"Khok Pho Chai","โคกโพธิ์ไชย","Khon Kaen","16.08361","102.39889","25483","106.7","40160","40"
"Mancha Khiri","มัญจาคีรี","Khon Kaen","16.12667","102.54222","72244","98.2","40160","40"
"Kranuan","กระนวน","Khon Kaen","16.70611","103.07889","77531","240.8","40170","40"
"Sam Sung","ซำสูง","Khon Kaen","16.54306","103.07972","23672","202.8","40170","40"
"Chonnabot","ชนบท","Khon Kaen","16.08833","102.62167","48756","120.6","40180","40"
"Nong Song Hong","หนองสองห้อง","Khon Kaen","15.73361","102.79556","78610","152.8","40190","40"
"Nong Ruea","หนองเรือ","Khon Kaen","16.49333","102.43333","91956","136.5","40210","40"
"Si Chomphu","สีชมพู","Khon Kaen","16.80028","102.18778","78220","147.9","40220","40"
"Waeng Noi","แวงน้อย","Khon Kaen","15.80361","102.41583","42408","149.5","40230","40"
"Ubolratana","อุบลรัตน์","Khon Kaen","16.75278","102.63278","43362","88.9","40250","40"
"Ban Fang","บ้านฝาง","Khon Kaen","16.45333","102.63833","52999","158.7","40270","40"
"Khao Suan Kwang","เขาสวนกวาง","Khon Kaen","16.85861","102.86167","37169","122.7","40280","40"
"Phra Yuen","พระยืน","Khon Kaen","16.32389","102.64861","34064","198.0","40320","40"
"Waeng Yai","แวงใหญ่","Khon Kaen","15.95944","102.54778","29424","155.6","40330","40"
"Pueai Noi","เปือยน้อย","Khon Kaen","15.87139","102.90556","19917","114.1","40340","40"
"Phu Pha Man","ภูผาม่าน","Khon Kaen","16.64500","101.90389","22229","78.1","40350","40"
"Mueang Udon Thani","เมืองอุดรธานี","Udon Thani","17.41500","102.78667","397049","358.5","41000","41"
"Kumphawapi","กุมภวาปี","Udon Thani","17.11389","103.01861","125193","187.6","41110","41"
"Prachaksinlapakhom","ประจักษ์ศิลปาคม","Udon Thani","17.27278","102.99417","24693","215.1","41110","41"
"Ku Kaeo","กู่แก้ว","Udon Thani","17.17222","103.15306","21962","121.2","41130","41"
"Nong Han","หนองหาน","Udon Thani","17.36056","103.10556","114982","162.4","41130","41"
"Phibun Rak","พิบูลย์รักษ์","Udon Thani","17.54917","103.05750","24185","129.7","41130","41"
"Phen","เพ็ญ","Udon Thani","17.69528","102.90722","110190","121.3","41150","41"
"Ban Dung","บ้านดุง","Udon Thani","17.70111","103.25972","123227","133.2","41190","41"
"Ban Phue","บ้านผือ","Udon Thani","17.68750","102.47278","107965","108.2","41190","41"
"Nam Som","น้ำโสม","Udon Thani","17.77056","102.18972","55622","74.9","41210","41"
"Nong Wua So","หนองวัวซอ","Udon Thani","17.16250","102.57278","61658","87.7","41220","41"
"Si That","ศรีธาตุ","Udon Thani","16.97278","103.21667","47888","93.4","41230","41"
"Non Sa-at","โนนสะอาด","Udon Thani","16.97833","102.89333","48459","114.0","41240","41"
"Kut Chap","กุดจับ","Udon Thani","17.42556","102.56667","62301","79.4","41250","41"
"Sang Khom","สร้างคอม","Udon Thani","17.82556","103.08861","28441","99.0","41260","41"
"Wang Sam Mo","วังสามหมอ","Udon Thani","16.94972","103.42861","55730","76.6","41280","41"
"Chai Wan","ไชยวาน","Udon Thani","17.28667","103.22333","38209","117.2","41290","41"
"Thung Fon","ทุ่งฝน","Udon Thani","17.47167","103.26000","31029","136.2","41310","41"
"Nong Saeng","หนองแสง","Udon Thani","17.1675","102.780556","25802","39.1","41340","41"
"Na Yung","นายูง","Udon Thani","17.89667","102.15000","25701","49.0","41380","41"
"Mueang Loei","เมืองเลย","Loei","17.48500","101.73000","117039","79.1","42000","42"
"Chiang Khan","เชียงคาน","Loei","17.89806","101.66639","59016","68.1","42110","42"
"Dan Sai","ด่านซ้าย","Loei","17.28000","101.14667","49270","28.4","42120","42"
"Wang Saphung","วังสะพุง","Loei","17.30167","101.76833","109424","94.6","42130","42"
"Tha Li","ท่าลี่","Loei","17.62444","101.42139","27117","39.7","42140","42"
"Pak Chom","ปากชม","Loei","18.02167","101.88833","37934","39.6","42150","42"
"Phu Ruea","ภูเรือ","Loei","17.45500","101.36333","21182","23.5","42160","42"
"Na Haeo","นาแห้ว","Loei","17.48500","101.07000","11011","17.5","42170","42"
"Na Wang","นาวัง","Nongbua Lamphu","17.32278","102.07250","37316","114.3","42170","42"
"Phu Kradueng","ภูกระดึง","Loei","16.88417","101.88444","33438","47.2","42180","42"
"Nong Hin","หนองหิน","Loei","17.12333","101.85833","23255","53.5","42190","42"
"Na Duang","นาด้วง","Loei","17.47917","101.97056","25232","42.8","42210","42"
"Erawan","เอราวัณ","Loei","17.31000","101.94000","37079","141.5","42220","42"
"Phu Luang","ภูหลวง","Loei","17.14000","101.66500","23069","38.8","42230","42"
"Pha Khao","ผาขาว","Loei","17.06667","102.02667","40047","86.5","42240","42"
"Mueang Nong Khai","เมืองหนองคาย","Nong Khai","17.88000","102.74167","145153","235.1","43000","43"
"Tha Bo","ท่าบ่อ","Nong Khai","17.84972","102.58111","84708","238.4","43110","43"
"Fao Rai","เฝ้าไร่","Nong Khai","18.01889","103.30389","50481","197.3","43120","43"
"Phon Phisai","โพนพิสัย","Nong Khai","18.02194","103.07722","96580","149.1","43120","43"
"Rattanawapi","รัตนวาปี","Nong Khai","18.22000","103.18000","36920","181.0","43120","43"
"Pho Tak","โพธิ์ตาก","Nong Khai","17.87667","102.41000","14886","145.2","43130","43"
"Si Chiang Mai","ศรีเชียงใหม่","Nong Khai","17.95639","102.58944","31132","157.2","43130","43"
"Sakhrai","สระใคร","Nong Khai","17.67500","102.75056","25247","119.7","43150","43"
"Sangkhom","สังคม","Nong Khai","18.06417","102.27333","22998","51.1","43160","43"
"Si Wilai","ศรีวิไล","Bueng Kan","18.17667","103.75000","38899","151.5","43210","43"
"Mueang Maha Sarakham","เมืองมหาสารคาม","Maha Sarakham","16.18417","103.30111","142325","255.7","44000","44"
"Phayakkhaphum Phisai","พยัคฆภูมิพิสัย","Maha Sarakham","15.51639","103.19361","88124","214.5","44110","44"
"Borabue","บรบือ","Maha Sarakham","16.03833","103.11917","108256","158.8","44130","44"
"Kut Rang","กุดรัง","Maha Sarakham","16.05167","102.99333","36144","135.4","44130","44"
"Kosum Phisai","โกสุมพิสัย","Maha Sarakham","16.24861","103.06694","119138","143.9","44140","44"
"Kantharawichai","กันทรวิชัย","Maha Sarakham","16.32278","103.29667","80250","215.6","44150","44"
"Chiang Yuen","เชียงยืน","Maha Sarakham","16.40806","103.10528","61704","214.5","44160","44"
"Chuen Chom","ชื่นชม","Maha Sarakham","16.53139","103.17167","24586","217.6","44160","44"
"Wapi Pathum","วาปีปทุม","Maha Sarakham","15.84667","103.38000","114020","188.1","44160","44"
"Na Chueak","นาเชือก","Maha Sarakham","15.80000","103.03167","60856","115.2","44170","44"
"Na Dun","นาดูน","Maha Sarakham","15.71389","103.22694","36485","146.9","44180","44"
"Kae Dam","แกดำ","Maha Sarakham","16.02500","103.38500","29218","195.4","44190","44"
"Yang Sisurat","ยางสีสุราช","Maha Sarakham","15.69000","103.10333","35482","146.3","44210","44"
"Changhan","จังหาร","Roi Et","16.13833","103.61500","47832","47.4","45000","45"
"Chiang Khwan","เชียงขวัญ","Roi Et","16.16556","103.75194","27859","219.0","45000","45"
"Mueang Roi Et","เมืองร้อยเอ็ด","Roi Et","16.05333","103.65333","153567","311.1","45000","45"
"Si Somdet","ศรีสมเด็จ","Roi Et","15.98722","103.51083","37161","170.9","45000","45"
"Phon Thong","โพนทอง","Roi Et","16.30000","103.97806","108348","150.7","45110","45"
"Selaphum","เสลภูมิ","Roi Et","16.03333","103.93389","122100","154.1","45120","45"
"Suwannaphum","สุวรรณภูมิ","Roi Et","15.60917","103.80028","116917","105.6","45130","45"
"Nong Hi","หนองฮี","Roi Et","15.61028","103.99056","25696","5.14","45140","45"
"Phanom Phrai","พนมไพร","Roi Et","15.67833","104.11000","75140","144.7","45140","45"
"Kaset Wisai","เกษตรวิสัย","Roi Et","15.65611","103.58000","99024","170.7","45150","45"
"At Samat","อาจสามารถ","Roi Et","15.84361","103.87889","74711","164.4","45160","45"
"Thawat Buri","ธวัชบุรี","Roi Et","16.03861","103.74694","68431","183.0","45170","45"
"Thung Khao Luang","ทุ่งเขาหลวง","Roi Et","15.99222","103.85917","24260","174.7","45170","45"
"Chaturaphak Phiman","จตุรพักตรพิมาน","Roi Et","15.84611","103.55694","81749","148.9","45180","45"
"Pathum Rat","ปทุมรัตต์","Roi Et","15.63500","103.34333","52744","147.8","45190","45"
"Nong Phok","หนองพอก","Roi Et","16.30972","104.20306","64646","107.8","45210","45"
"Mueang Suang","เมืองสรวง","Roi Et","15.82361","103.71778","23751","113.4","45220","45"
"Pho Chai","โพธิ์ชัย","Roi Et","16.32361","103.76917","56917","144.3","45230","45"
"Phon Sai","โพนทราย","Roi Et","15.48778","103.99639","27420","127.0","45240","45"
"Moei Wadi","เมยวดี","Roi Et","16.38917","104.15750","22463","124.4","45250","45"
"Don Chan","ดอนจาน","Kalasin","16.45833","103.69500","25164","106.4","46000","46"
"Mueang Kalasin","เมืองกาฬสินธุ์","Kalasin","16.43250","103.50611","145579","224.0","46000","46"
"Kuchinarai","กุฉินารายณ์","Kalasin","16.53833","104.05500","101184","136.3","46110","46"
"Yang Talat","ยางตลาด","Kalasin","16.40222","103.37306","129022","207.2","46120","46"
"Kamalasai","กมลาไสย","Kalasin","16.33889","103.57528","69535","213.8","46130","46"
"Khong Chai","ฆ้องชัย","Kalasin","16.26167","103.45833","27098","211.2","46130","46"
"Sahatsakhan","สหัสขันธ์","Kalasin","16.71333","103.52000","41536","131.3","46140","46"
"Somdet","สมเด็จ","Kalasin","16.70444","103.75000","61380","135.2","46150","46"
"Khao Wong","เขาวง","Kalasin","16.70000","104.09000","35130","171.3","46160","46"
"Na Khu","นาคู","Kalasin","16.78000","104.03167","31510","211.2","46160","46"
"Huai Phueng","ห้วยผึ้ง","Kalasin","16.64583","103.90889","30343","118.1","46170","46"
"Kham Muang","คำม่วง","Kalasin","16.92333","103.63167","47412","76.3","46180","46"
"Sam Chai","สามชัย","Kalasin","16.86333","103.53833","25222","45.8","46180","46"
"Tha Khantho","ท่าคันโท","Kalasin","16.94000","103.24444","37293","94.7","46190","46"
"Rong Kham","ร่องคำ","Kalasin","16.26667","103.74056","16444","200.3","46210","46"
"Nong Kung Si","หนองกุงศรี","Kalasin","16.65583","103.29389","65521","104.5","46220","46"
"Na Mon","นามน","Kalasin","16.57528","103.78667","35234","132.6","46230","46"
"Huai Mek","ห้วยเม็ก","Kalasin","16.59000","103.23556","49716","170.8","46240","46"
"Mueang Sakon Nakhon","เมืองสกลนคร","Sakon Nakhon","17.15556","104.13389","188898","184.6","47000","47"
"Sawang Daen Din","สว่างแดนดิน","Sakon Nakhon","17.47500","103.45833","146897","151.4","47110","47"
"Wanon Niwat","วานรนิวาส","Sakon Nakhon","17.63222","103.75194","121097","119.4","47120","47"
"Phanna Nikhom","พรรณนานิคม","Sakon Nakhon","17.35167","103.84667","79507","118.0","47130","47"
"Ban Muang","บ้านม่วง","Sakon Nakhon","17.85111","103.57000","67196","79.1","47140","47"
"Waritchaphum","วาริชภูมิ","Sakon Nakhon","17.29333","103.63667","51067","107.3","47150","47"
"Phang Khon","พังโคน","Sakon Nakhon","17.39250","103.70944","52031","135.6","47160","47"
"Akat Amnuai","อากาศอำนวย","Sakon Nakhon","17.59667","103.97500","67328","115.1","47170","47"
"Kut Bak","กุดบาก","Sakon Nakhon","17.08722","103.82250","31833","70.0","47180","47"
"Phu Phan","ภูพาน","Sakon Nakhon","17.00000","103.96556","36050","64.5","47180","47"
"Song Dao","ส่องดาว","Sakon Nakhon","17.33500","103.46333","32439","102.1","47190","47"
"Kusuman","กุสุมาลย์","Sakon Nakhon","17.33167","104.33333","45014","99.1","47210","47"
"Phon Na Kaeo","โพนนาแก้ว","Sakon Nakhon","17.22111","104.29000","35579","101.1","47230","47"
"Kham Ta Kla","คำตากล้า","Sakon Nakhon","17.84944","103.75500","37902","94.3","47250","47"
"Tao Ngoi","เต่างอย","Sakon Nakhon","16.99667","104.16750","23043","159.0","47260","47"
"Nikhom Nam Un","นิคมน้ำอูน","Sakon Nakhon","17.18306","103.71861","13696","84.5","47270","47"
"Khok Si Suphan","โคกศรีสุพรรณ","Sakon Nakhon","17.04361","104.27333","33717","159.0","47280","47"
"Charoen Sin","เจริญศิลป์","Sakon Nakhon","17.59667","103.56556","42375","105.7","47290","47"
"Mueang Nakhon Phanom","เมืองนครพนม","Nakhon Phanom","17.36722","104.76056","141997","122.7","48000","48"
"That Phanom","ธาตุพนม","Nakhon Phanom","16.93639","104.70944","83478","228.3","48110","48"
"Tha Uthen","ท่าอุเทน","Nakhon Phanom","17.55694","104.61250","57926","122.7","48120","48"
"Na Kae","นาแก","Nakhon Phanom","16.94667","104.50083","75365","141.6","48130","48"
"Wang Yang","วังยาง","Nakhon Phanom","17.05611","104.45528","14440","104.7","48130","48"
"Ban Phaeng","บ้านแพง","Nakhon Phanom","17.96806","104.21583","34232","118.7","48140","48"
"Na Thom","นาทม","Nakhon Phanom","17.78528","104.09056","21930","55.1","48140","48"
"Si Songkhram","ศรีสงคราม","Nakhon Phanom","17.62722","104.25056","65952","98.2","48150","48"
"Pla Pak","ปลาปาก","Nakhon Phanom","17.18056","104.52611","50955","93.1","48160","48"
